epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29159,1.12669,3.01841,1.60005,0.00335,1,0.20854,0.1343,1.35711,4.00815,2.15324,1.667e-05,1.667e-05,1.667e-05
2,8.32198,1.22309,3.04591,1.96275,0.0034,1,0.21171,0.11096,1.19879,3.78548,2.04314,4.95149e-05,4.95149e-05,4.95149e-05
3,11.8647,0.96109,2.8984,1.51504,0.00347,1,0.09981,0.04458,0.93907,3.70656,1.82565,8.16997e-05,8.16997e-05,8.16997e-05
4,15.3653,0.92484,2.92278,1.4268,0.00347,1,0.28594,0.14665,0.93953,3.70809,1.82849,0.000113224,0.000113224,0.000113224
5,19.0712,0.98824,2.9078,1.49058,0.00343,1,0.33251,0.16744,0.9025,3.79472,1.7437,0.000144089,0.000144089,0.000144089
6,22.7411,0.88657,2.92066,1.47682,0.00339,1,0.56686,0.21062,1.19023,3.84618,2.0945,0.000174293,0.000174293,0.000174293
7,26.597,0.96914,2.8205,1.49269,0.00353,1,0.45363,0.14949,1.40817,4.07285,2.19637,0.000203837,0.000203837,0.000203837
8,30.5762,0.88995,2.66538,1.40877,0.00357,1,0.25124,0.13906,1.43236,4.10023,2.30019,0.000232722,0.000232722,0.000232722
9,34.5551,1.03708,2.71519,1.56062,0.00369,1,0.23409,0.10416,1.60112,4.11992,2.45719,0.000260946,0.000260946,0.000260946
10,38.5144,0.89178,2.59748,1.38341,0.00367,1,0.23215,0.11218,1.54941,4.07714,2.40627,0.000288509,0.000288509,0.000288509
11,42.5214,0.80935,2.49795,1.31626,0.00376,1,0.29501,0.14682,1.58811,3.95005,2.40391,0.000315413,0.000315413,0.000315413
12,46.0833,0.87058,2.5502,1.46118,0.00396,1,0.50187,0.16652,1.5141,3.94822,2.36036,0.000341657,0.000341657,0.000341657
13,49.7491,0.85737,2.52085,1.44845,0.00396,1,0.3606,0.182,1.3943,3.79847,2.39669,0.00036724,0.00036724,0.00036724
14,53.3505,1.06243,2.44034,1.63253,0.00387,1,0.26542,0.16297,1.17517,3.83385,2.4367,0.000392163,0.000392163,0.000392163
15,57.2132,0.87098,2.37108,1.51505,0.00377,1,0.54783,0.2676,1.11699,3.67167,2.61539,0.000416427,0.000416427,0.000416427
16,61.2653,0.88035,2.27746,1.40964,0.00381,1,0.43469,0.24048,1.21481,3.70052,2.92108,0.00044003,0.00044003,0.00044003
17,64.9488,0.93325,2.25974,1.49676,0.00374,1,0.49853,0.24396,1.25759,3.72398,2.9377,0.000462973,0.000462973,0.000462973
18,68.4671,0.81917,2.12215,1.46453,0.00368,1,0.34556,0.17404,1.27402,3.59041,2.93199,0.000485255,0.000485255,0.000485255
19,71.9981,0.95426,2.11888,1.56605,0.00368,1,0.39508,0.21844,1.00306,3.67587,2.11283,0.000506878,0.000506878,0.000506878
20,76.0977,0.8891,2.13224,1.45424,0.00368,1,0.43538,0.21837,0.9841,3.60134,1.93857,0.000527841,0.000527841,0.000527841
21,80.1235,1.16044,2.15461,1.67535,0.00361,1,0.54329,0.23827,0.98046,3.65854,2.01879,0.000548143,0.000548143,0.000548143
22,84.2671,0.88466,1.8316,1.33836,0.00362,1,0.61425,0.2616,1.06281,3.85922,2.0757,0.000567785,0.000567785,0.000567785
23,88.1254,0.97596,1.78256,1.47341,0.00356,1,0.73488,0.17475,1.3468,3.86211,2.47902,0.000586767,0.000586767,0.000586767
24,91.7753,0.89754,1.8315,1.53343,0.00351,1,0.32333,0.11977,1.37344,3.7543,2.53233,0.000605089,0.000605089,0.000605089
25,95.6447,0.93113,1.8876,1.59255,0.00355,1,0.34935,0.11717,1.67294,3.84168,2.66656,0.000622751,0.000622751,0.000622751
26,99.4405,0.98779,1.61437,1.37923,0.64208,0.27186,0.36323,0.1323,1.60874,3.9417,2.5942,0.000639753,0.000639753,0.000639753
27,103.973,1.12095,1.96857,1.63399,0.72262,0.14842,0.36134,0.13507,1.66271,3.83664,2.85507,0.000656095,0.000656095,0.000656095
28,107.535,1.06839,1.70786,1.50659,0.72262,0.14842,0.36134,0.13507,1.66271,3.83664,2.85507,0.000671776,0.000671776,0.000671776
29,111.265,0.86403,1.57447,1.41961,0.70912,0.16667,0.32997,0.11401,1.47521,3.79261,2.57552,0.000686797,0.000686797,0.000686797
30,115.018,0.96408,1.63208,1.41654,0.00344,1,0.19541,0.09198,1.57039,3.88153,2.60544,0.000701159,0.000701159,0.000701159
31,118.825,1.17618,2.00789,1.81101,0.00344,1,0.19541,0.09198,1.57039,3.88153,2.60544,0.00071486,0.00071486,0.00071486
32,122.457,0.9554,1.57406,1.4505,0.00341,1,0.43023,0.17896,1.49068,3.92334,2.64071,0.000727901,0.000727901,0.000727901
33,126.843,0.99125,1.65236,1.48904,0.58761,0.16667,0.34546,0.1325,1.83951,4.1478,3.21706,0.000740281,0.000740281,0.000740281
34,130.696,0.88729,1.41266,1.3738,0.58761,0.16667,0.34546,0.1325,1.83951,4.1478,3.21706,0.000752002,0.000752002,0.000752002
35,134.596,1.04139,1.9148,1.66134,0.62078,0.16667,0.33171,0.14993,2.14242,4.13944,3.46311,0.000763063,0.000763063,0.000763063
36,138.324,0.92706,2.04148,1.63265,0.689,0.16667,0.42753,0.19067,2.4183,4.43498,3.54924,0.000773463,0.000773463,0.000773463
